itrial,dgp,method,rmse,coverage,width,coverage_type,size
0,linear,XBART,2.7210123074551196,0.765,6.14055051240279,Overall,200
0,linear,XBART,1.865733200272861,0.8854166666666666,6.026579650136658,Interior,96
0,linear,XBART,3.3204051529647236,0.6538461538461539,6.245754385263833,Exterior,104
0,linear,XBART-GP,1.9974488881260748,0.895,6.718855077085701,Overall,200
0,linear,XBART-GP,1.6532087417687633,0.9166666666666666,6.145252601326887,Interior,96
0,linear,XBART-GP,2.269324904537003,0.875,7.248334285478451,Exterior,104
0,linear,jackknife+ XBART,2.6647174946898184,0.825,7.0927803366079045,Overall,200
0,linear,jackknife+ XBART,1.791287801510077,0.9270833333333334,7.078533969501978,Interior,96
0,linear,jackknife+ XBART,3.270067504697064,0.7307692307692307,7.105930829321066,Exterior,104
0,linear,jackknife+ RF,3.5022294452953577,0.82,9.213493802811849,Overall,200
0,linear,jackknife+ RF,2.4550468600390007,0.9270833333333334,9.189701434561778,Interior,96
0,linear,jackknife+ RF,4.245479189837816,0.7211538461538461,9.235455988888837,Exterior,104
0,linear,CV+ XBART,2.5682558613815516,0.84,7.215025197451857,Overall,200
0,linear,CV+ XBART,1.7205565142001082,0.9479166666666666,7.1934397938030985,Interior,96
0,linear,CV+ XBART,3.154662942075286,0.7403846153846154,7.234950185435327,Exterior,104
0,linear,CV+ RF,3.5214835696713838,0.83,9.119083274091107,Overall,200
0,linear,CV+ RF,2.4838312514250247,0.9375,9.117782056420333,Interior,96
0,linear,CV+ RF,4.260626092127871,0.7307692307692307,9.120284398094899,Exterior,104
1,linear,XBART,2.8651908596859235,0.765,5.854795159531309,Overall,200
1,linear,XBART,1.8583382042399075,0.8936170212765957,5.78530987166196,Interior,94
1,linear,XBART,3.525168495424063,0.6509433962264151,5.91641418839658,Exterior,106
1,linear,XBART-GP,2.0756938950279498,0.885,6.478645612404645,Overall,200
1,linear,XBART-GP,1.5946823331577495,0.9468085106382979,5.9863046444173165,Interior,94
1,linear,XBART-GP,2.4236607374842936,0.8301886792452831,6.915249867034919,Exterior,106
1,linear,jackknife+ XBART,2.9501413572840103,0.79,6.127990838829231,Overall,200
1,linear,jackknife+ XBART,1.8815614529468367,0.9148936170212766,6.112710810355593,Interior,94
1,linear,jackknife+ XBART,3.644433719602803,0.6792452830188679,6.141541052758681,Exterior,106
1,linear,jackknife+ RF,4.289561384886685,0.72,8.784469336536558,Overall,200
1,linear,jackknife+ RF,3.2892252465259153,0.8085106382978723,8.787422810742969,Interior,94
1,linear,jackknife+ RF,5.012325486575943,0.6415094339622641,8.781850217900686,Exterior,106
1,linear,CV+ XBART,2.9001431114119933,0.815,6.703129735873415,Overall,200
1,linear,CV+ XBART,1.8355212236779697,0.9042553191489362,6.670823338850953,Interior,94
1,linear,CV+ XBART,3.58911749553003,0.7358490566037735,6.73177880493107,Exterior,106
1,linear,CV+ RF,4.315742003248178,0.71,8.978093831652439,Overall,200
1,linear,CV+ RF,3.3302587334270033,0.7978723404255319,8.984867540511763,Interior,94
1,linear,CV+ RF,5.030667482582185,0.6320754716981132,8.97208695775832,Exterior,106
2,linear,XBART,3.0141819091182165,0.64,5.3399630761305525,Overall,200
2,linear,XBART,2.1284052079859457,0.7974683544303798,5.337870093052839,Interior,79
2,linear,XBART,3.472655790113841,0.5371900826446281,5.341329569214348,Exterior,121
2,linear,XBART-GP,2.383620975857921,0.775,5.857688179602408,Overall,200
2,linear,XBART-GP,1.9093336260538412,0.8481012658227848,5.447881111378165,Interior,79
2,linear,XBART-GP,2.6478292287184746,0.7272727272727273,6.125248166294271,Exterior,121
2,linear,jackknife+ XBART,2.913854332600215,0.705,6.037658202838684,Overall,200
2,linear,jackknife+ XBART,1.9178175573855787,0.8987341772151899,6.086902233049186,Interior,79
2,linear,jackknife+ XBART,3.410660855273045,0.5785123966942148,6.005507141792156,Exterior,121
2,linear,jackknife+ RF,4.0977598657183565,0.67,8.18228759559345,Overall,200
2,linear,jackknife+ RF,3.206675718541359,0.7848101265822784,8.188421582487447,Interior,79
2,linear,jackknife+ RF,4.587071681062335,0.5950413223140496,8.178282761175057,Exterior,121
2,linear,CV+ XBART,2.807819896602835,0.715,6.0187562184370424,Overall,200
2,linear,CV+ XBART,1.9227397117628784,0.8607594936708861,6.030792983266885,Interior,79
2,linear,CV+ XBART,3.258445102004132,0.6198347107438017,6.010897504209296,Exterior,121
2,linear,CV+ RF,4.129935138495131,0.67,8.347189772963839,Overall,200
2,linear,CV+ RF,3.2131245063441143,0.810126582278481,8.360836804024178,Interior,79
2,linear,CV+ RF,4.631604947600473,0.5785123966942148,8.338279727891386,Exterior,121
3,linear,XBART,2.8395322016361497,0.73,5.794231130844898,Overall,200
3,linear,XBART,2.017617478196252,0.9042553191489362,5.766105598446481,Interior,94
3,linear,XBART,3.406341585541627,0.5754716981132075,5.819172640707646,Exterior,106
3,linear,XBART-GP,2.0963238987698474,0.845,6.537598396249755,Overall,200
3,linear,XBART-GP,1.7199795165575142,0.8829787234042553,5.91115693122679,Interior,94
3,linear,XBART-GP,2.38080333912666,0.8113207547169812,7.093121959572004,Exterior,106
3,linear,jackknife+ XBART,2.778992884680638,0.76,6.037282569349231,Overall,200
3,linear,jackknife+ XBART,1.936344646476887,0.9042553191489362,6.034323336751533,Interior,94
3,linear,jackknife+ XBART,3.353558818159675,0.6320754716981132,6.03990679448304,Exterior,106
3,linear,jackknife+ RF,3.872860402260493,0.725,8.348198022935781,Overall,200
3,linear,jackknife+ RF,3.0216050061439255,0.7978723404255319,8.312391419849702,Interior,94
3,linear,jackknife+ RF,4.494840268997523,0.660377358490566,8.379951048314004,Exterior,106
3,linear,CV+ XBART,2.823977335173411,0.755,6.2386417948999835,Overall,200
3,linear,CV+ XBART,1.9890582668484715,0.9148936170212766,6.233620945943321,Interior,94
3,linear,CV+ XBART,3.3968248711477895,0.6132075471698113,6.24309424586155,Exterior,106
3,linear,CV+ RF,3.8987315309952244,0.735,8.295026060212919,Overall,200
3,linear,CV+ RF,3.046305335345906,0.8191489361702128,8.24836955145485,Interior,94
3,linear,CV+ RF,4.522171531003245,0.660377358490566,8.336400700054982,Exterior,106
4,linear,XBART,3.2942208013606544,0.675,5.537934090068465,Overall,200
4,linear,XBART,2.2426224815563534,0.8051948051948052,5.418339720279978,Interior,77
4,linear,XBART,3.8074784742546446,0.5934959349593496,5.612802110179956,Exterior,123
4,linear,XBART-GP,2.4983771549216187,0.815,6.281402178748255,Overall,200
4,linear,XBART-GP,1.93458598682406,0.8311688311688312,5.4869952136397835,Interior,77
4,linear,XBART-GP,2.79400594658482,0.8048780487804879,6.778713856092585,Exterior,123
