itrial,dgp,method,rmse,coverage,width,coverage_type,size
0,single_index,XBART,7.04558729700895,0.694736842105263,15.2362295112255,Interior,95
0,single_index,XBART,16.3333923210865,0.142857142857143,15.3379428418783,Exterior,105
0,single_index,XBART-GP,6.53082194744793,0.736842105263158,15.4852381059155,Interior,95
0,single_index,XBART-GP,13.7069108343686,0.238095238095238,15.9347316193315,Exterior,105
0,single_index,Jackknife+ XBART,6.85173485786596,0.789473684210526,16.5483224129633,Interior,95
0,single_index,Jackknife+ XBART,15.7136829298654,0.238095238095238,16.5939127561512,Exterior,105
0,single_index,Jackknife+ XBART-GP,7.01335176577611,0.768421052631579,17.2994496795391,Interior,95
0,single_index,Jackknife+ XBART-GP,17.0197084299617,0.238095238095238,17.3651623335145,Exterior,105
0,single_index,CV+ XBART,6.89492756964191,0.810526315789474,18.5262093000772,Interior,95
0,single_index,CV+ XBART,15.9182107817473,0.228571428571429,18.5824052757083,Exterior,105
0,single_index,CV+ XBART-GP,6.62509281055198,0.863157894736842,19.3099405139678,Interior,95
0,single_index,CV+ XBART-GP,14.9048700375295,0.371428571428571,19.8797026228135,Exterior,105
1,single_index,XBART,8.78886548975666,0.63963963963964,16.5907540575515,Interior,111
1,single_index,XBART,16.4375933290661,0.224719101123596,16.602965782847,Exterior,89
1,single_index,XBART-GP,7.44558483415034,0.747747747747748,17.2589463616984,Interior,111
1,single_index,XBART-GP,13.4908818560621,0.292134831460674,17.834927669046,Exterior,89
1,single_index,Jackknife+ XBART,7.23803400699608,0.756756756756757,17.8442104377016,Interior,111
1,single_index,Jackknife+ XBART,14.7075961506506,0.314606741573034,17.8167455985527,Exterior,89
1,single_index,Jackknife+ XBART-GP,7.42206103799371,0.792792792792793,18.3760541027362,Interior,111
1,single_index,Jackknife+ XBART-GP,16.2584690547505,0.359550561797753,18.316043078497,Exterior,89
1,single_index,CV+ XBART,7.77885614846619,0.792792792792793,19.8357493335959,Interior,111
1,single_index,CV+ XBART,15.4867635976081,0.325842696629214,19.8415888127114,Exterior,89
1,single_index,CV+ XBART-GP,7.47628936624004,0.846846846846847,20.1559205257701,Interior,111
1,single_index,CV+ XBART-GP,15.0937888635552,0.404494382022472,20.7075543634928,Exterior,89
2,single_index,XBART,5.7868631166956,0.879518072289157,17.5815679234928,Interior,83
2,single_index,XBART,15.1887077649041,0.384615384615385,17.3811737523029,Exterior,117
2,single_index,XBART-GP,5.45783555001194,0.867469879518072,17.1201482726519,Interior,83
2,single_index,XBART-GP,12.5180219938515,0.521367521367521,18.5142099924186,Exterior,117
2,single_index,Jackknife+ XBART,4.54740736762443,0.939759036144579,16.7186288966478,Interior,83
2,single_index,Jackknife+ XBART,13.4311444027128,0.435897435897436,16.809279142123,Exterior,117
2,single_index,Jackknife+ XBART-GP,4.7925699721374,0.91566265060241,16.7420605009759,Interior,83
2,single_index,Jackknife+ XBART-GP,16.3270755727176,0.358974358974359,16.9160558434882,Exterior,117
2,single_index,CV+ XBART,4.28993893056064,0.951807228915663,18.1668254990682,Interior,83
2,single_index,CV+ XBART,13.3304340423674,0.461538461538462,17.9852752897739,Exterior,117
2,single_index,CV+ XBART-GP,3.77654206242944,1.0,18.5650488480899,Interior,83
2,single_index,CV+ XBART-GP,14.947487402208,0.487179487179487,19.1060495810895,Exterior,117
3,single_index,XBART,6.4367683764212,0.726190476190476,13.2325645051857,Interior,84
3,single_index,XBART,14.7160729786159,0.146551724137931,13.0480507355639,Exterior,116
3,single_index,XBART-GP,6.05612209804097,0.761904761904762,13.3337456865973,Interior,84
3,single_index,XBART-GP,12.0744204913451,0.293103448275862,13.9505344912294,Exterior,116
3,single_index,Jackknife+ XBART,5.30675037684634,0.857142857142857,16.5374135359109,Interior,84
3,single_index,Jackknife+ XBART,13.4046767242132,0.301724137931035,16.6106873923529,Exterior,116
3,single_index,Jackknife+ XBART-GP,5.31168546297065,0.880952380952381,16.7215633578271,Interior,84
3,single_index,Jackknife+ XBART-GP,15.9532340446347,0.293103448275862,16.7138303159491,Exterior,116
3,single_index,CV+ XBART,5.66149357000213,0.821428571428571,15.9086050796898,Interior,84
3,single_index,CV+ XBART,14.00673239427,0.21551724137931,16.1801827033565,Exterior,116
3,single_index,CV+ XBART-GP,5.56791990157578,0.857142857142857,17.6195102290538,Interior,84
3,single_index,CV+ XBART-GP,14.8259534840654,0.370689655172414,18.6623110553058,Exterior,116
4,single_index,XBART,5.56596850356298,0.708333333333333,12.6501533042354,Interior,72
4,single_index,XBART,13.9896766873878,0.2109375,12.4050434775563,Exterior,128
4,single_index,XBART-GP,5.10016643999896,0.777777777777778,12.6072483478814,Interior,72
4,single_index,XBART-GP,11.4529271590128,0.3359375,13.636452460071,Exterior,128
4,single_index,Jackknife+ XBART,5.0443030313276,0.819444444444444,15.0816976678286,Interior,72
4,single_index,Jackknife+ XBART,13.6243910082656,0.2890625,15.1415451229909,Exterior,128
4,single_index,Jackknife+ XBART-GP,4.97492696036749,0.833333333333333,15.5274914424115,Interior,72
4,single_index,Jackknife+ XBART-GP,15.9902843289171,0.265625,15.6657786342234,Exterior,128
4,single_index,CV+ XBART,5.02945700853393,0.861111111111111,16.7225377849386,Interior,72
4,single_index,CV+ XBART,13.7017326639739,0.34375,16.8768227805237,Exterior,128
4,single_index,CV+ XBART-GP,4.68040347285172,0.916666666666667,17.2930697033747,Interior,72
4,single_index,CV+ XBART-GP,14.9599376458017,0.4140625,18.3541834181803,Exterior,128
5,single_index,XBART,5.330406442097191,0.764044943820225,12.0792700575582,Interior,89
5,single_index,XBART,13.8754506242907,0.198198198198198,12.2647517435856,Exterior,111
5,single_index,XBART-GP,5.1126815825068,0.775280898876405,12.2216944824113,Interior,89
